Real/Fake,ID,path
Fake,0,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/googlepixel/p1_df.mp4
Fake,1,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/googlepixel/p2_df.mp4
Fake,2,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/googlepixel/p3_df.mp4
Fake,3,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/googlepixel/p4_df.mp4
Fake,4,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/googlepixel/p5_df.mp4
Fake,5,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/googlepixel/p6_df.mp4
Fake,6,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/webcam/p1_df.mp4
Fake,7,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/webcam/p2_df.mp4
Fake,8,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/webcam/p3_df.mp4
Fake,9,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/webcam/p4_df.mp4
Fake,10,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/webcam/p5_df.mp4
Fake,11,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/webcam/p6_df.mp4
Fake,12,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/canon/p1_df.mp4
Fake,13,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/canon/p2_df.mp4
Fake,14,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/canon/p3_df.mp4
Fake,15,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/canon/p4_df.mp4
Fake,16,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/canon/p5_df.mp4
Fake,17,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/canon/p6_df.mp4
Fake,18,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/iphone/p1_df.mp4
Fake,19,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/iphone/p2_df.mp4
Fake,20,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/iphone/p3_df.mp4
Fake,21,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/iphone/p4_df.mp4
Fake,22,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/iphone/p5_df.mp4
Fake,23,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/talklip/iphone/p6_df.mp4
Fake,24,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/googlepixel/p1_df.mp4
Fake,25,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/googlepixel/p2_df.mp4
Fake,26,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/googlepixel/p3_df.mp4
Fake,27,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/googlepixel/p4_df.mp4
Fake,28,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/googlepixel/p5_df.mp4
Fake,29,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/googlepixel/p6_df.mp4
Fake,30,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/webcam/p1_df.mp4
Fake,31,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/webcam/p2_df.mp4
Fake,32,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/webcam/p3_df.mp4
Fake,33,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/webcam/p4_df.mp4
Fake,34,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/webcam/p5_df.mp4
Fake,35,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/webcam/p6_df.mp4
Fake,36,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/canon/p1_df.mp4
Fake,37,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/canon/p2_df.mp4
Fake,38,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/canon/p3_df.mp4
Fake,39,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/canon/p4_df.mp4
Fake,40,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/canon/p5_df.mp4
Fake,41,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/canon/p6_df.mp4
Fake,42,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/iphone/p1_df.mp4
Fake,43,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/iphone/p2_df.mp4
Fake,44,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/iphone/p3_df.mp4
Fake,45,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/iphone/p4_df.mp4
Fake,46,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/iphone/p5_df.mp4
Fake,47,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/talklip/iphone/p6_df.mp4
Fake,48,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/googlepixel/p1_df.mp4
Fake,49,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/googlepixel/p2_df.mp4
Fake,50,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/googlepixel/p3_df.mp4
Fake,51,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/googlepixel/p4_df.mp4
Fake,52,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/googlepixel/p5_df.mp4
Fake,53,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/googlepixel/p6_df.mp4
Fake,54,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/webcam/p1_df.mp4
Fake,55,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/webcam/p2_df.mp4
Fake,56,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/webcam/p3_df.mp4
Fake,57,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/webcam/p4_df.mp4
Fake,58,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/webcam/p5_df.mp4
Fake,59,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/webcam/p6_df.mp4
Fake,60,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/canon/p1_df.mp4
Fake,61,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/canon/p2_df.mp4
Fake,62,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/canon/p3_df.mp4
Fake,63,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/canon/p4_df.mp4
Fake,64,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/canon/p5_df.mp4
Fake,65,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/canon/p6_df.mp4
Fake,66,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/iphone/p1_df.mp4
Fake,67,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/iphone/p2_df.mp4
Fake,68,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/toma/talklip/iphone/p3_df.mp4
