Real/Fake,ID,path
Fake,0,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/googlepixel/p1_df.mp4
Fake,1,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/googlepixel/p2_df.mp4
Fake,2,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/googlepixel/p3_df.mp4
Fake,3,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/googlepixel/p4_df.mp4
Fake,4,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/googlepixel/p5_df.mp4
Fake,5,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/googlepixel/p6_df.mp4
Fake,6,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/webcam/p1_df.mp4
Fake,7,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/webcam/p2_df.mp4
Fake,8,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/webcam/p3_df.mp4
Fake,9,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/webcam/p4_df.mp4
Fake,10,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/webcam/p5_df.mp4
Fake,11,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/webcam/p6_df.mp4
Fake,12,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/canon/p1_df.mp4
Fake,13,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/canon/p2_df.mp4
Fake,14,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/canon/p3_df.mp4
Fake,15,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/canon/p4_df.mp4
Fake,16,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/canon/p5_df.mp4
Fake,17,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/canon/p6_df.mp4
Fake,18,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/iphone/p1_df.mp4
Fake,19,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/iphone/p2_df.mp4
Fake,20,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/iphone/p3_df.mp4
Fake,21,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/iphone/p4_df.mp4
Fake,22,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/iphone/p5_df.mp4
Fake,23,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/sadtalker/iphone/p6_df.mp4
Fake,24,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/googlepixel/p1_df.mp4
Fake,25,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/googlepixel/p2_df.mp4
Fake,26,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/googlepixel/p3_df.mp4
Fake,27,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/googlepixel/p4_df.mp4
Fake,28,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/googlepixel/p5_df.mp4
Fake,29,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/googlepixel/p6_df.mp4
Fake,30,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/webcam/p1_df.mp4
Fake,31,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/webcam/p2_df.mp4
Fake,32,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/webcam/p3_df.mp4
Fake,33,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/webcam/p4_df.mp4
Fake,34,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/webcam/p5_df.mp4
Fake,35,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/webcam/p6_df.mp4
Fake,36,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/canon/p1_df.mp4
Fake,37,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/canon/p2_df.mp4
Fake,38,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/canon/p3_df.mp4
Fake,39,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/canon/p4_df.mp4
Fake,40,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/canon/p5_df.mp4
Fake,41,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/canon/p6_df.mp4
Fake,42,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/iphone/p1_df.mp4
Fake,43,/media/raunak/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/sadtalker/iphone/p2_df.mp4
