Real/Fake,ID,path
Fake,0,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/googlepixel/p1_df.mp4
Fake,1,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/googlepixel/p2_df.mp4
Fake,2,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/googlepixel/p3_df.mp4
Fake,3,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/googlepixel/p4_df.mp4
Fake,4,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/googlepixel/p5_df.mp4
Fake,5,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/googlepixel/p6_df.mp4
Fake,6,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/webcam/p1_df.mp4
Fake,7,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/webcam/p2_df.mp4
Fake,8,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/webcam/p3_df.mp4
Fake,9,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/webcam/p4_df.mp4
Fake,10,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/webcam/p5_df.mp4
Fake,11,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/webcam/p6_df.mp4
Fake,12,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/canon/p1_df.mp4
Fake,13,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/canon/p2_df.mp4
Fake,14,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/canon/p3_df.mp4
Fake,15,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/canon/p4_df.mp4
Fake,16,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/canon/p5_df.mp4
Fake,17,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/canon/p6_df.mp4
Fake,18,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/iphone/p1_df.mp4
Fake,19,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/iphone/p2_df.mp4
Fake,20,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/iphone/p3_df.mp4
Fake,21,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/iphone/p4_df.mp4
Fake,22,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/iphone/p5_df.mp4
Fake,23,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/yuval/faceswap/iphone/p6_df.mp4
Fake,24,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/faceswap/googlepixel/p1_df.mp4
Fake,25,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/faceswap/googlepixel/p2_df.mp4
Fake,26,/media/admin/E380-1E91/Deepfake/End_To_End/deepfakes_may24/colman/faceswap/googlepixel/p3_df.mp4
